"1","Accenture","AccentureGlobal|AccentureIPC","\\\\BVMDM01\\RAWDATA\\BVMDM01\\","Cisco | Microsoft","BWS1i"
"2","allenlund","Allen Lund Company","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"3","aml","AMCOL International","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"4","amoco","BP Amoco","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"5","AOC1","Amata Office Centers","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"6","applied","Applied Industrial Technologie","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Avaya","BWS1i"
"7","armstrong","Armstrong World Industries","\\BVMDM01\RAWDATA\BVMDM01\","Avaya IP","BWS1i"
"8","aryaka","Aryaka Networks Inc","\\BVMDM01\RAWDATA\BVMDM01\","CCME Radius","BWS1i"
"9","as01","Assurant Inc. - Miami, FL","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"10","asb","American Savings Bank","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"11","atlas","Atles Van Lines, Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Avaya IP","BWS1i"
"12","baa","Board of Academic Awards","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"13","bakerhughes","Baker Hughes","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | CCME File | Nortel","BWS1i"
"14","ben","Benefitfocus","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Custom Filter","BWS1i"
"15","berbee","berbee","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"16","bfl","Badgerland Financial","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"17","bioscrip","Bioscrip","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"18","bpa","BP Launda Angola","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Custom Generic","BWS1i"
"19","bridgeport","Bridgeport University","\\BVMDM01\RAWDATA\BVMDM01\","CCME Radius","BWS1i"
"20","brook","Tympani Inc - Brook Furniture Rental","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Wireless ATT Carrier Feed","BWS1i"
"21","bui","Buchanan Ingersoll","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | NEC","BWS1i"
"22","caci","caci","\\BVMDM01\RAWDATA\BVMDM01\","Custom Generic | Avaya | Nortel","BWS1i"
"23","campbellsou","Campbell Soup","\\BVMDM01\RAWDATA\BVMDM01\","Avaya | Siemens | Custom Generic","BWS1i"
"24","canvas","Canvas Systems","\\BVMDM01\RAWDATA\BVMDM01\","CCME File","BWS1i"
"25","CBE1","Cisco Business Edition","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"26","ccc1","Central City Credit Union","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"27","ccs1","Catholic Charities of Santa Clara County","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"28","centerpoint","Centerpoint Properties","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"29","cgi","CGI - AMS","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
